Rank,Portuguese,English
811,fiquei,I was left
812,tipos,types
813,estrada,road
814,banco,Bank
815,hotel,Hotel
816,verdadeiro,real
817,povo,people
818,sozinha,by herself
819,escritório,office
820,tocar,touch
821,sete,seven
822,indo,going
823,engraçado,funny
824,iria,would go
825,nele,in him
826,lei,law
827,padre,priest
828,trouxe,he brought
829,fizeram,made
830,dito,said
831,tá,OK
832,simplesmente,simply
833,tratar,treat
834,programa,program
835,diabo,Devil
836,mente,mind
837,serviço,service
838,voz,voice
839,acredita,believe
840,encontrei,found it
841,presente,gift
842,após,after
843,resposta,answer
844,mensagem,message
845,fugir,to run away
846,quantos,how many
847,quente,warm
848,companhia,company
849,chamada,call
850,volto,back
851,mike,Mike
852,facto,fact that
853,conversa,conversation
854,mamã,mum
855,através,through
856,acabei,I finished
857,tinhas,you had
858,consegui,I achieved
859,olhem,look
860,normal,normal
861,espaço,space
862,escrever,write
863,senhoras,ladies
864,incrível,amazing
865,dizes,say
866,viva,alive
867,bela,lovely
868,esquerda,left
869,breve,brief
870,preso,stuck
871,abrir,Open
872,procurar,Search for
873,preocupe,worry
874,faças,dozen
875,feira,market
876,direita,right
877,inferno,hell
878,gostar,like
879,ataque,attack
880,acidente,accident
881,cabo,cable
882,saiu,it went out
883,idéia,idea
884,fixe,set
885,assassino,assassin
886,tempos,times
887,segundos,seconds
888,estivesse,be
889,costas,back
890,graças,thanksgiving
891,olho,eye
892,mar,sea
893,papel,paper
894,chamado,called
895,fomos,we were
896,salvar,to save
897,ambos,both
898,dor,ache
899,frio,cold
900,esperem,wait
901,missão,mission
902,diabos,hell
903,s,s
904,pensava,thought
905,ouça,listen
906,pés,foot
907,imediatamente,immediately
908,cair,to fall
909,ouro,gold
910,tenente,lieutenant
911,escuta,listening
912,chave,key
913,mês,month
914,luta,fight
915,crime,crime
916,bebida,beverage
917,maldito,damn you
918,venham,come
919,ora,now
920,centro,center
921,bola,ball
922,ótimo,excellent
923,sente,feel
924,cavalo,horse
925,lembro,weed
926,fantástico,Fantastic
927,norte,north
928,velha,old
929,parabéns,Happy birthday
930,guarda,guard
931,caixa,Cashier
932,aposto,bet
933,segunda,Monday
934,relação,relationship
935,disseram,they said
936,coronel,colonel
937,excelente,great
938,conseguiu,got
939,trazer,bring
940,metade,half
941,menino,boy
942,sendo,being
943,alma,soul
944,juro,interest
945,má,bad
946,loja,store
947,estará,be
948,parem,stop
949,almoço,lunch
950,advogado,attorney
951,sul,south
952,mestre,teacher
953,cheio,full
954,surpresa,surprise
955,garota,girl
956,lista,list
957,abre,opens
958,acerca,about
959,ordens,orders
960,oito,eight
961,morta,dead
962,paul,paul
963,erro,error
964,d,d
965,namorada,girlfriend
966,começa,begins
967,américa,America
968,pobre,poor
969,dançar,to dance
970,fazia,did
971,saiam,leave
972,carne,beef
973,cena,scene
974,falou,he spoke
975,impossível,impossible
976,conversar,to talk
977,escolha,choice
978,informação,information
979,animais,animals
980,interessante,interesting
981,posição,position
982,branco,White
983,legal,cool
984,rio,River
985,voltou,it returned
986,digas,say
987,realidade,reality
988,belo,beautiful
989,devíamos,we should
990,tiro,shot
991,comandante,commander
992,aprender,learn
993,dizendo,saying
994,prova,proof
995,harry,harry
996,soube,knot
997,ouviu,he heard
998,negócios,Business
999,vestido,dress
1000,sargento,sergeant
1001,destino,destiny
1002,tivemos,we had
1003,abaixo,below
1004,hei,Hey
1005,honra,honor
1006,energia,energy
1007,falo,I talk
1008,fizemos,We did
1009,igreja,church
1010,trabalha,works
1011,passo,step
1012,ben,ben
1013,vidas,lives
1014,funciona,it works
1015,falei,I spoke
1016,liberdade,freedom
1017,socorro,help
1018,vêm,comes
1019,vive,live
1020,parecia,seemed
1021,cerca,fence
1022,esquece,forgets
1023,tenham,have
1024,conseguimos,we achieved
1025,câmara,chamber
1026,papai,Daddy
1027,bar,Pub
1028,tira,strip
1029,horrível,horrible
1030,pá,Pan
1031,segredo,secret
1032,maravilhoso,amazing
1033,cerveja,beer
1034,precisam,need
1035,divertido,funny
1036,m,m
1037,naquela,at that
1038,uh,uh
1039,basta,enough
1040,ouviste,you hear
1041,reunião,meeting
1042,contente,happy
1043,foder,fuck
1044,volte,come back
1045,regras,rules
1046,miúdos,kids
1047,peter,peter
1048,planeta,planet
1049,triste,sad
1050,piada,joke
1051,ihe,ie
1052,vejam,come
1053,entender,understand
1054,prometo,promise
1055,passada,last
1056,jimmy,jimmy
1057,aniversário,birthday
1058,pudesse,could
1059,exemplo,example
1060,tiver,have
1061,eras,eras
1062,acaba,ends
1063,perdi,I lost
1064,tenta,try
1065,fato,fact
1066,miss,miss
1067,debaixo,underneath
1068,sejas,be
1069,prontos,ready
1070,tentei,I Tried
1071,mary,Mary
1072,serão,be
1073,explicar,explain
1074,americano,American
1075,avó,grandmother
1076,levou,he took
1077,meia,half
1078,totalmente,totally
1079,delas,from them
1080,l,lees
1081,receber,receive
1082,perigo,danger
1083,saúde,health
1084,máquina,machine
1085,tentando,trying
1086,namorado,boyfriend
1087,diria,would say
1088,conheci,I knew
1089,cristo,Christ
1090,quantas,how many
1091,tínhamos,We had
1092,saída,exit
1093,tenhas,have
1094,maioria,majority
1095,bater,to knock
1096,bolas,balls
1097,apartamento,apartment
1098,diferentes,many different
1099,negro,black
1100,podias,could
1101,estarei,I'll be
1102,desejo,desire
1103,perdeu,lost
1104,garoto,boy
1105,naquele,in that
1106,tanta,soil
1107,livros,books
1108,năo,not
1109,leve,Light
1110,diferença,difference
1111,rádio,radio
1112,fale,speak
1113,destes,of these
1114,base,base
1115,perceber,to perceive
1116,humano,human
1117,esquecer,to forget
1118,bob,bob
1119,quais,which
1120,irei,I will go
1121,james,james
1122,terrível,terrible
1123,mamãe,Mommy
1124,duro,hard
1125,mandar,to send
1126,janela,window
1127,junto,along
1128,vender,sell
1129,ama,love
1130,público,public
1131,henry,henry
1132,b,B
1133,ás,to the
1134,nave,ship
1135,sonhos,dreams
1136,põe,put
1137,tradução,Translation
1138,provas,evidences
1139,entendido,understood
1140,tribunal,court
1141,billy,Billy
1142,monte,hill
1143,meninas,girls
1144,área,area
1145,conheces,know
1146,bomba,bomb
1147,farei,do
1148,perigoso,dangerous
1149,experiência,experience
1150,bill,bill
1151,acima,above
1152,percebo,perceive
1153,existem,exist
1154,pernas,legs
1155,lua,moon
1156,graça,grace
1157,c,ç
1158,acaso,chance
1159,peça,piece
1160,estaria,would be
1161,decisão,decision
1162,odeio,I hate
1163,par,pair
1164,sabias,knavia
1165,pronta,ready
1166,metros,meters
1167,silêncio,silence
1168,humanos,humans
1169,seguinte,Following
1170,caralho,O
1171,subir,ride up
1172,devagar,slowly
1173,espécie,species
1174,clube,club
1175,oficial,official
1176,dei,die
1177,percebi,I noticed
1178,senão,if not
1179,compreendo,I understand
1180,verão,summer
1181,enorme,huge
1182,avô,grandfather
1183,cérebro,brain
1184,televisão,TV
1185,johnny,johnny
1186,propósito,purpose
1187,resolver,solve
1188,últimos,latter
1189,inglês,English
1190,esperança,hope
1191,trata,treats
1192,maluco,mad
1193,irmãos,brothers
1194,apesar,although
1195,dessas,such
1196,poderá,can
1197,contrário,contrary
1198,rainha,Queen
1199,igual,equal
1200,jim,jim
1201,parecer,seem
1202,ray,ray
1203,suponho,suppose
1204,dúvida,doubt
1205,achar,find
1206,doce,sweet
1207,danny,danny
1208,ilha,Island
1209,repente,sudden
1210,conselho,advice
1211,colocar,to place
1212,aquelas,those
1213,espírito,spirit
1214,tome,take
1215,corre,run
1216,cartas,cards
1217,tv,TV
1218,raparigas,girls
1219,vossos,your
1220,paris,Paris
1221,encontrou,found
1222,saco,bag
1223,empresa,company
1224,foto,Photograph
1225,loucura,craziness
1226,acham,find
1227,sejam,are
1228,controlo,control
1229,voce,you
1230,pensando,thinking
1231,azul,blue
1232,comboio,train
1233,vermelho,Red
1234,hipótese,hypothesis
1235,alex,alex
1236,destas,of these
1237,roupas,clothes
1238,inteligente,intelligent
1239,afinal,in the end
1240,estrela,star
1241,max,max
1242,filmes,films
1243,gelo,ice
1244,principal,main
1245,chá,tea
1246,parecem,seem
1247,terminar,finish
1248,motivo,reason
1249,desculpem,sorry
1250,soldados,soldiers
1251,teres,have
1252,vinho,wine
1253,americanos,American
1254,longo,far away
1255,dizia,say
1256,chorar,cry
1257,universidade,University
1258,certamente,Certainly
1259,usa,use
1260,perdido,lost
1261,defesa,defense
1262,buraco,hole
1263,teste,test
1264,preço,price
1265,roubar,steal
1266,r,rather
1267,braço,arm
1268,fotos,Photos
1269,inteiro,all
1270,teremos,we'll
1271,xerife,sheriff
1272,comando,command
1273,carros,cars
1274,mentir,to lie
1275,cantar,sing
1276,cozinha,kitchen
1277,porcaria,filth
1278,zona,zone
1279,lembrar,to remember
1280,desapareceu,it disappeared
1281,toca,tie
1282,necessário,required
1283,justo,fair
1284,confiar,trust
1285,nick,nick
1286,façam,make
1287,coragem,courage
1288,controle,control
1289,vós,you
1290,pareces,seems
1291,entende,you see
1292,nove,nine
1293,traz,brings
1294,proteger,protect
1295,aparecer,appear
1296,fiquem,stay
1297,inimigo,enemy
1298,pele,skin
1299,percebes,perceive
1300,contas,accounts
1301,tia,aunt
1302,deixei,let
1303,saiba,learn
1304,voar,fly
1305,nível,level
1306,to,to
1307,desses,such
1308,lixo,garbage
1309,tentou,tried
1310,beleza,beauty
1311,suposto,supposed
1312,you,you
1313,srta,MS
1314,preparar,prepare
1315,noites,nights
1316,dança,dance
1317,sapatos,shoes
1318,cuidar,to care
1319,soldado,Soldier
1320,gostei,I liked
1321,novos,new
1322,come,eats
1323,segura,secure
1324,lembra,remember
1325,entrada,Prohibited
1326,entrou,came in
1327,arte,art
1328,peixe,fish
1329,pense,think
1330,chance,chance
1331,cheia,full
1332,opinião,opinion
1333,podíamos,we could
1334,rabo,tail
1335,serei,Will be
1336,senti,I felt
1337,alta,high
1338,esperando,waiting
1339,aceitar,to accept
1340,som,sound
1341,querias,wage
1342,ficam,stay
1343,ficas,phas
1344,pega,catch
1345,férias,vacation
1346,esqueça,forget it
1347,exatamente,exactly
1348,precisava,needed
1349,cabrão,bastard
1350,nela,in it
1351,animal,animal
1352,pediu,he requested
1353,planos,plans
1354,sarah,sarah
1355,cheiro,smell
1356,herói,hero
1357,acontecendo,happening
1358,funcionar,function
1359,passei,passed
1360,código,code
1361,perna,leg
1362,londres,London
1363,drogas,drugs
1364,queira,want
1365,unidos,United
1366,lugares,places
1367,perdão,pardon
1368,vossas,your
1369,estiveste,stifed
1370,dentes,teeth
1371,t,t
1372,contacto,contact
1373,viram,see
1374,ideias,ideas
1375,espectáculo,spectacle
1376,yeah,yeah
1377,novas,new
1378,provar,to test
1379,nariz,nose
1380,vergonha,shame
1381,criar,to create
1382,chaves,keys
1383,estados,States
1384,estrelas,stars
1385,louca,crazy
1386,fará,will make
1387,natureza,nature
1388,vens,ven
1389,cliente,client
1390,ocupado,occupied
1391,iorque,york
1392,jovens,young people
1393,começo,start
1394,estação,station
1395,vendo,see
1396,preto,black
1397,preocupado,worried
1398,dum,dum
1399,mudou,changed
1400,liga,turns on
1401,caras,faces
1402,copo,glass
1403,cor,color
1404,tamanho,size
1405,cu,ass
1406,caiu,dropped down
1407,princesa,Princess
1408,pedra,stone
1409,eddie,eddie
1410,fbi,fbi
1411,corrida,race
1412,nomes,names
1413,fé,faith
1414,branca,White
1415,escute,Listen
1416,monstro,monster
1417,bobby,bobby
1418,época,era
1419,brilhante,bright
1420,ficará,stay
1421,terei,I will have
1422,direcção,direction
1423,daquele,for
1424,vento,wind
1425,dou,give
1426,haverá,there will be
1427,casaco,coat
1428,chamas,flames
1429,início,start
1430,cansado,tired out
1431,mala,suitcase
1432,tiveste,tivest
1433,árvore,tree
1434,mentira,lie
1435,batalha,battle
1436,continue,continues
1437,pegue,take it
1438,jake,Jake
1439,esperava,expected
1440,serve,it suits
1441,rico,rich
1442,charles,Charles
1443,dado,given away
1444,maria,Mary
1445,eua,USA
1446,verdadeira,true
1447,cheguei,I arrived
1448,costumava,I used to
1449,majestade,majesty
1450,tente,try
1451,ido,gone
1452,sucesso,success
1453,céus,skies
1454,pedido,request
1455,alvo,target
1456,rosto,face
1457,termos,terms
1458,classe,class
1459,cães,dogs
1460,velocidade,velocity
1461,saudades,miss you
1462,forças,forces
1463,santo,Holy
1464,canção,song
1465,io,io
1466,calças,pants
1467,cabra,goat
1468,pensam,think
1469,departamento,Department
1470,maldita,damn
1471,limpar,clean
1472,cartão,card
1473,relatório,report
1474,navio,ship
1475,velhos,old
1476,barulho,noise
1477,flores,flowers
1478,ê,and
1479,steve,steve
1480,detective,detective
1481,visita,visit
1482,lidar,to deal
1483,atrasado,late
1484,pedi,pedestal
1485,gato,cat
1486,emergência,emergency
1487,disparar,shoot
1488,parede,Wall
1489,operação,operation
1490,jamais,never
1491,tornar,become
1492,longa,long
1493,sir,sir
1494,milhares,thousands
1495,cavalheiros,gentleman
1496,absolutamente,absolutely
1497,sentes,encounter
1498,lsso,lubber
1499,gostam,like
1500,vimos,saw
1501,destruir,to destroy
1502,tommy,tommy
1503,beijo,kiss
1504,risco,risk
1505,preparado,prepared
1506,seres,beings
1507,ha,there is
1508,comum,common
1509,computador,computer
1510,cavalos,horses
1511,falamos,we talk
1512,restaurante,restaurant
1513,cinema,movie theater
1514,prefiro,I prefer
1515,responsável,responsible
1516,vinte,twenty
1517,jornal,newspaper
1518,li,li
1519,descer,come down
1520,esperto,clever
1521,esconder,hide
1522,daquela,of that
1523,somente,only
1524,movimento,movement
1525,caro,expensive
1526,pista,track
1527,porco,pig
1528,doido,crazy
1529,rir,to laugh
1530,praia,Beach
1531,estilo,style
1532,acção,action
1533,ajude,help
1534,cortar,cut
1535,escolher,choose
1536,richard,Richard
1537,eie,eie
1538,maldição,curse
1539,vieram,came
1540,imaginar,to imagine
1541,irão,will
1542,luzes,lights
1543,histórias,stories
1544,abra,open it
1545,língua,tongue
1546,distância,distance
1547,fechar,close
1548,evitar,avoid
1549,príncipe,Prince
1550,total,total
1551,errada,wrong
1552,conhecido,known
1553,toque,Touch
1554,discutir,to discuss
1555,juiz,judge
1556,ias,ias
1557,pressão,pressure
1558,informações,information
1559,especialmente,especially
1560,estranha,strange
1561,cadeia,jail
1562,banda,band
1563,devido,due
1564,justiça,justice
1565,verde,green
1566,puder,can
1567,quieto,still
1568,milhão,million
1569,duma,of
1570,pescoço,neck
1571,eh,Eh
1572,tony,tony
1573,mandou,sent
1574,imagem,Image
1575,conhecemos,We know
1576,memória,memory
1577,ponte,bridge
1578,p,for
1579,máximo,maximum
